id,lat,lon
3452,40.4571396,-3.6770372
3460,40.4533351,-3.6673087
3518,40.4643229,-3.6791713
3580,40.4583869,-3.6743206
3581,40.4594428,-3.6742991
3642,40.457098,-3.6758765
3909,40.451631,-3.6811748
3910,40.4516411,-3.6749857
3912,40.4523828,-3.6666572
3913,40.4544843,-3.6772956
3917,40.4516804,-3.6787933
3918,40.4533422,-3.6672395
3919,40.4522498,-3.6667246
3921,40.4526894,-3.6650968
3926,40.4517526,-3.681253
5474,40.4589494,-3.6892645
5476,40.458788,-3.6866999
5477,40.4587067,-3.6828747
5480,40.4604067,-3.6879851
5481,40.4588121,-3.6868035
5482,40.4599369,-3.6854484
5499,40.4539083,-3.6841348
5506,40.4551392,-3.6870312
5530,40.4670235,-3.6791491
5537,40.4622898,-3.6803372
5538,40.4669302,-3.67908
5539,40.4636563,-3.6812539
5542,40.4637071,-3.6758667
5543,40.4615666,-3.6763171
5544,40.4601285,-3.6766709
5546,40.4570855,-3.6771098
5547,40.4516428,-3.6775229
5549,40.4571265,-3.6769161
5555,40.4655052,-3.6774201
5556,40.4623835,-3.6748704
5558,40.460387,-3.6753681
5562,40.4546628,-3.6778472
5563,40.4552169,-3.6760853
5565,40.4615943,-3.683242
5568,40.4617638,-3.6804501
5570,40.4620658,-3.6851936
5572,40.4570122,-3.6811227
5576,40.458573,-3.6835018
5578,40.456445,-3.680696
5579,40.4570125,-3.678609
5581,40.4585158,-3.6819335
5583,40.4583578,-3.6804382
5588,40.4576221,-3.6720139
5592,40.4598625,-3.6693318
5600,40.4576829,-3.6744002
5607,40.4585629,-3.6744392
5611,40.4529737,-3.6788763
5616,40.4587733,-3.6700374
5620,40.4601135,-3.6696451
6980,40.4587265,-3.6804435
