,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,179,151.5,131.5,110,90,82,70.5,64,56,47,47.5,42,36,36,39,40,33.5,39,54,63,83,132.5,171.5,225,320.5,389,502.5,755.5,940.5,1000,990,1197,1638.5,1854.5,1942,1966,1906.5,1769.5,1636.5,1607,1609,1521,1479.5,1505.5,1521,1474,1457,1468.5,1497,1430,1426,1435,1488.5,1486,1489.5,1436,1424.5,1381,1466.5,1475,1464.5,1359,1359,1472,1560.5,1522,1628.5,1683.5,1744,1731,1820.5,1827,1850,1842.5,1860.5,1814.5,1698.5,1523.5,1412.5,1332.5,1276,1192,1089.5,974,833,700,612,503,454,421.5,383,336,315,304.5,277.5,236.5
1,51,36,34.5,25,21,17,15,12,12,10,9,9,7,12,8,7,8,13,12,13,15,43.5,50,52,67,75.5,104,128,159,185,199.5,225,294,335.5,376.5,392,426,408,390,370.5,361,346.5,338,333,334,332,337,335.5,345,340,335.5,330,336.5,338,342,325,325.5,331,363,352,332,311.5,323,315,336.5,351,367,353,391,423.5,526,509,556.5,539.5,575,545.5,471,405,357.5,327,317,280,253,219.5,205.5,182,164,137,128,118,114,105,97,80,79.5,69
2,27.5,18,14,13,9,7,7,5,5,5,5,4,1.5,4,5,4,5,5,5,5,6,18,20,20,20,28,33.5,43.5,62.5,71,72.5,100.5,165.5,212.5,221,200,178.5,165,141,134.5,135,128,122,122,127.5,125,124,128,135,137,134.5,140,144,154,147,138,144,142,134,130,136,130,123,129,152,166.5,160,153,152,163,156.5,149.5,151,152.5,156.5,153.5,160,160,161,156,150,140,134,121.5,104,87,74,66,55,52,49,45,42,38,35,33
3,378,339,295,232,192.5,164,144.5,113,103,92.5,88,84,72,70,75,73,73,81,92,105,123.5,156,218.5,313,423.5,552.5,731.5,1080.5,1330,1348.5,1346.5,1789.5,2124.5,2103.5,2020.5,1751,1546.5,1402.5,1407,1444.5,1449.5,1402.5,1417,1460.5,1503.5,1542.5,1579,1607,1639.5,1671,1718,1739,1783,1902.5,1938.5,1966,1996,2089,2067.5,1831.5,1780,1728,1787.5,1673.5,1713,1704.5,1816,1771.5,1824,1952.5,2123,1979.5,1911,1969.5,2039,1906.5,1823,1851,1835,1648.5,1527,1479,1342,1180.5,1111,1064.5,921.5,778,735,730,691.5,613.5,597.5,592,566.5,497
4,39,26,20,16,13,11,8,7,7,7,5,5,5,5,4,4,5,5,5,5,7,28,40,48.5,58.5,65,93.5,124.5,145,165.5,175.5,203.5,282,387,342,268,245,231,225,218,223,213,209,216,213,210,217,222,219,231,229,236,238,275,255,250,262,277.5,265,239,230,231,223,223,229.5,242.5,256,264,273,327,337.5,312,315,323,325.5,312,307.5,306,281,258,241.5,234,213,203.5,170,152,134,113,104.5,98,88,81,73,62,56,52
5,27,21,18,14,12,11,8,7,6,6,6,5,5,5,5,5,5,5,6,7,7,20,25,30,30,36,52,72,85.5,98,110.5,148.5,179,239,229,201,197.5,198,193,181,181.5,188,190,191,191,196,193,196,195,193,190,189,186,180,176,167,155,153,151.5,150,149,151.5,153,161,171,172,187,203,197,202,208,218,224,219,208,214,207,195.5,183,167,151.5,145,132,121,102,94,81,72,62,58,52,48,49,41,38,34
6,179,155,130.5,102.5,87,72.5,62,52,46,42,40,35,33,31,33,32,31,32,34,43,53,80,88,119,151,187.5,276.5,401.5,580,633,576,718.5,946,1096.5,1084,979.5,880,840,809.5,828.5,805,808,809.5,827,856,881.5,894,904,935,969.5,967,986,1012.5,1107,1115,1093,1075,1136,1124.5,1009.5,992,956,962,948,964,948.5,1030.5,1053.5,1043.5,1065,1184.5,1108,1068,1083.5,1132,1072,1028.5,1012.5,974.5,880.5,829.5,798.5,753,657,601,580.5,510.5,401.5,380,381.5,357,314,297.5,291,271,237.5
7,104,87.5,75,65,55,46,41,37,31,28,27,23,22,21,21,20,23,20,24,31,53,77,111.5,138,200,266,384,500.5,687,661,663,774,1078.5,1253.5,1298,1167,1118,973,921.5,862,876.5,834,810,806,813,783,780,783.5,799,753.5,757,747.5,775.5,772,776,752.5,756.5,748.5,772.5,749.5,761.5,715,733,760.5,813.5,776.5,831,867.5,870.5,822,859.5,890.5,902,862,871,840,819,778,732,668,660,599.5,577.5,519.5,451.5,397.5,348.5,302,267,246,226.5,204,187,173.5,164.5,143
8,161,139,113.5,95,77,66,60,49,44,41,40,36,35,34,30,37,39,35,44,59,95.5,131.5,203,247,354,443.5,633.5,830,1098.5,1054,1136,1200.5,1543.5,1641.5,1600.5,1569,1566.5,1476.5,1408.5,1360.5,1389,1328.5,1312,1309,1333,1268.5,1279,1269,1294,1244,1253,1248.5,1269.5,1267.5,1311.5,1265.5,1267,1236,1320,1287,1304.5,1219.5,1266,1315.5,1390.5,1315,1418,1434,1443,1383.5,1459,1433,1414,1356,1380.5,1366,1341,1248,1202.5,1134.5,1124.5,1032,977.5,877.5,756,648.5,576,502,450.5,410,395,338,303,281,264,223.5
9,116,92,79.5,69,54,49,44,38,31,28,27,25,21,22,21,21.5,19,21,21,26,27,50,60,78,107.5,137,191,300,403,449,469,565.5,701,945,1147.5,1133.5,1084,983,930,920,921,871.5,846.5,862,887.5,845,847.5,871,882.5,836,847,839.5,871,863,869,846,866,855.5,891,874,897,823.5,813.5,873.5,924,908,957,1002,1033,1002,1093,1104,1147.5,1128.5,1138,1113,1025.5,913.5,830.5,764,731.5,675.5,625,560.5,483,419.5,359,294,273.5,250.5,233,207,193,188,169,153
10,83.5,67,56,49,40,36,33,29,24,22,19,17,16,16,16,16,16,15,16,21,33,60,84,101,140,189,280,408,591.5,591,582,627.5,916,1038,1085,976.5,909,800,748,717.5,725,689,664,660.5,667.5,647,643,637.5,649.5,610,613,611,633.5,619,628.5,610.5,618,602.5,630,611.5,615,583,604.5,625,660.5,629,669.5,699,699.5,673,683.5,718.5,711.5,693,694.5,670,644,616,583,535,533,489.5,458.5,409,350.5,306.5,267,238.5,205,187,182,161.5,146.5,134,132,112.5
11,72,55,43,37,31,27,22,19,16,15,16,14,12,12,12,13,12,14,16,24.5,25,49.5,67,91,125.5,166.5,222.5,353.5,478,392,464,678.5,807,764.5,700,619.5,547.5,475,467,456,455,432,437,438,437,429,435,446,450,428,445,448.5,454,467.5,485,471.5,462,464.5,458,434.5,436,418,425,429.5,444,439.5,458,473,493,475,497.5,494,494,500.5,512.5,498,491.5,472,475.5,435.5,414.5,373.5,340,311,270.5,248.5,218.5,191,176.5,171,158,145,136.5,121,110,98
12,222.5,201,167,135,113,97,81.5,69,60.5,58,52,44,42.5,40,43,44,43,45,52,70,79,116,127.5,186,235.5,302.5,398.5,601.5,767,820.5,778.5,1039.5,1259,1317,1259,1082.5,993.5,939.5,962.5,978,953,939.5,973,995.5,1018.5,1049,1078,1100,1115,1137.5,1169,1180,1211.5,1300,1326,1283.5,1246,1270.5,1291.5,1127,1124.5,1107,1100.5,1060,1083.5,1098,1130,1141,1181,1164,1250,1206,1203.5,1229,1235,1176.5,1144,1172,1148,1028,947,929.5,883.5,780.5,729.5,721.5,638,509.5,454,472,449.5,390,366,360.5,342,310
13,191,157.5,132,113,94,80,68.5,62,54,49,49,42,43,39.5,38,47,49,45,61.5,77,122.5,170.5,253,319,422.5,543,688,904,1140,1102.5,1147,1262,1546,1653,1651,1623,1579.5,1480.5,1435.5,1399,1402.5,1364,1357.5,1361.5,1374,1328,1344,1332.5,1355,1315,1338,1327,1353.5,1391,1416,1368.5,1373.5,1494,1513,1423,1402,1398.5,1437.5,1456.5,1483,1461,1586,1604.5,1608.5,1604,1767.5,1744.5,1673,1635,1672,1582,1526.5,1423.5,1347,1229.5,1227,1131,1076.5,944,824,802,675,575,505,483,447,378.5,335,321,295,255.5
14,87.5,69,58,49,41,36,32,28,24,21,20,17,16,16,16,16,16,15,16,20,32,58,81,91,135.5,170,256,374,558.5,574.5,583,600,866,986,1050,945.5,884,773.5,723,692,713,679.5,652,648,662.5,641,647,646,648.5,611.5,617.5,607,635,622.5,628,600.5,601.5,586,600.5,590,589.5,559,578,601,634,606,647,689,691,650,661.5,693.5,692,678.5,681,655.5,627,594.5,559.5,528,520,477.5,454,405,351,305,271,232,204,189.5,183,166,149,137,137,118
